	index	sentence	origin	lang
0	0	"It has title of ""Raining Soochow"""	104	en
1	1	"It has title of ""Glow In the Dark"""	106	en
2	5	and a family (in the background)	131	en
3	6	It has title of Goldfishes	131	en
4	7	It has title of Tetrahedral shadow and rockery	132	en
5	8	It has title of Scene in a Circle in a Circle	135	en
6	9	It has title of A streetlamp in SIP	137	en
7	10	It has title of The classic Soochow-style brunch	138	en
8	11	It has tags of chenyang, suzhou, jiangsu, peoplesrepublicofchina	349	en
9	12	It has tags of suzhou, jiangsu, peoplesrepublicofchina, chenyang	350	en
10	13	The Canglang Pavilion (沧浪亭), variously translated as the Great Wave Pavilion, Surging Wave Pavilion, or Blue Wave Pavilion, is one of the Classical Gardens of Suzhou that are jointly recognized as a UNESCO World Heritage Site	361	en
11	14	It is located at 3 Canglangting Street in Suzhou, Jiangsu province, China	361	en
12	16	The Master of the Nets Garden (Chinese: 网师园) in Suzhou is among the finest gardens in China	363	en
13	17	It is recognized with other classical Suzhou gardens as a UNESCO World Heritage Site	363	en
14	18	The garden demonstrates Chinese garden designers' adept skills for synthesizing art, nature, and architecture to create unique metaphysical masterpieces	363	en
15	19	The Master of the Nets is particularly regarded among garden connoisseurs for its mastering the techniques of relative dimension, contrast, foil, sequence and depth, and borrowed scenery	363	en
16	21	It has title of Master of the Nets Garden 网师园	363	en
17	22	The Master of the Nets Garden (Chinese: 网师园) in Suzhou is among the finest gardens in China	364	en
18	23	It is recognized with other classical Suzhou gardens as a UNESCO World Heritage Site	364	en
19	24	The garden demonstrates Chinese garden designers' adept skills for synthesizing art, nature, and architecture to create unique metaphysical masterpieces	364	en
20	25	The Master of the Nets is particularly regarded among garden connoisseurs for its mastering the techniques of relative dimension, contrast, foil, sequence and depth, and borrowed scenery	364	en
21	27	It has title of Master of the Nets Garden 网师园	364	en
22	28	The Canglang Pavilion (沧浪亭), variously translated as the Great Wave Pavilion, Surging Wave Pavilion, or Blue Wave Pavilion, is one of the Classical Gardens of Suzhou that are jointly recognized as a UNESCO World Heritage Site	370	en
